100 1977
0 9 2039
0 14 8181
0 15 6486
0 21 9024
0 34 5827
0 37 7062
0 42 3338
0 43 1141
0 51 8729
0 53 944
0 54 6415
0 58 4543
0 64 7107
0 69 2320
0 87 5844
0 92 875
0 93 4416
0 94 1544
0 97 9662
1 2 8885
1 8 351
1 17 6886
1 19 9866
1 24 1920
1 27 7129
1 33 8444
1 37 1944
1 42 8566
1 43 6620
1 44 3525
1 47 4038
1 48 8387
1 58 4991
1 59 2115
1 69 4035
1 72 6961
1 78 9098
1 84 9689
1 88 9659
1 95 3895
1 96 4011
2 1 4736
2 7 7777
2 8 7470
2 10 204
2 12 5192
2 26 2098
2 58 8689
2 60 2004
2 68 9087
2 70 7408
2 72 5542
2 73 7764
2 78 1817
2 79 7605
2 83 4999
2 88 5659
2 98 8765
3 7 5584
3 10 1161
3 15 5090
3 16 7999
3 28 6779
3 29 3710
3 33 3298
3 38 799
3 43 1973
3 45 1505
3 55 9619
3 64 8674
3 65 1776
3 66 1770
3 71 7306
3 74 4114
3 77 6018
3 82 1945
3 85 9632
3 92 7745
3 97 3037
4 0 2372
4 1 5967
4 5 2713
4 7 5266
4 11 7635
4 14 5645
4 15 1697
4 17 196
4 19 7446
4 21 7930
4 34 4711
4 35 5500
4 36 3070
4 47 444
4 55 4056
4 57 9982
4 58 7708
4 60 5606
4 63 4564
4 70 3080
4 80 8477
4 81 9397
4 85 6012
4 90 2866
4 97 908
5 4 9949
5 13 7323
5 28 6926
5 37 5680
5 44 3365
5 45 5974
5 47 4108
5 51 9977
5 54 7630
5 55 3194
5 60 565
5 72 2609
5 73 9561
5 77 9026
5 79 9278
5 81 9491
5 82 7265
5 85 4525
5 86 3333
5 94 4385
5 96 8176
6 1 6450
6 9 1050
6 11 6476
6 16 4569
6 24 9416
6 25 2097
6 30 3650
6 34 7266
6 43 4399
6 44 8225
6 46 9228
6 52 163
6 54 5906
6 60 3193
6 61 6826
6 64 4907
6 71 5039
6 72 497
6 76 2532
6 88 2843
6 91 9826
6 96 6424
6 99 3165
7 0 939
7 4 3204
7 6 8191
7 10 6229
7 11 988
7 13 4605
7 16 9999
7 20 1576
7 24 6634
7 29 8678
7 30 9187
7 38 7896
7 41 1876
7 47 7840
7 60 4578
7 74 5064
7 84 3296
7 85 4051
7 88 9239
7 97 2658
8 4 359
8 5 8716
8 19 5962
8 29 5790
8 36 2027
